Year Month,Postal Code,Customer Class,Total Gallons
201201,78613,Commercial,2880800
201201,78613,Irrigation - Commercial,855400
201201,78617,Austin Water Utility,438700
201201,78617,City of Austin,6500300
201201,78617,Commercial,9164900
201201,78617,Irrigation - City of Austin,0
201201,78617,Irrigation - Commercial,585800
201201,78640,Commercial,57900
201201,78652,Commercial,153700
201201,78653,Commercial,101600
201201,78653,Irrigation - Commercial,50900
201201,78653,Wholesale,0
201201,78660,Commercial,3667600
201201,78660,Irrigation - Commercial,1538500
201201,78660,Wholesale,26510300
201201,78681,City of Austin,3500
201201,78681,Irrigation - City of Austin,26000
201201,78701,Austin Water Utility,96000
201201,78701,City of Austin,3688300
201201,78701,Commercial,58017300
201201,78701,Irrigation - City of Austin,691500
201201,78701,Irrigation - Commercial,1335900
201201,78701,Large Volume,174400
201201,78702,Austin Water Utility,78000
201201,78702,City of Austin,1029600
201201,78702,Commercial,26540200
201201,78702,Irrigation - City of Austin,732600
201201,78702,Irrigation - Commercial,1327600
201201,78703,Austin Water Utility,0
201201,78703,City of Austin,898000
201201,78703,Commercial,16286500
201201,78703,Irrigation - City of Austin,143100
201201,78703,Irrigation - Commercial,904800
201201,78704,Austin Water Utility,605800
201201,78704,City of Austin,1171000
201201,78704,Commercial,33067000
201201,78704,Irrigation - City of Austin,71500
201201,78704,Irrigation - Commercial,1991300
201201,78705,City of Austin,83300
201201,78705,Commercial,25113800
201201,78705,Irrigation - City of Austin,400
201201,78705,Irrigation - Commercial,917600
201201,78705,Large Volume,2735600
201201,78710,Commercial,55900
201201,78710,Irrigation - Commercial,218300
201201,78712,Commercial,4236900
201201,78712,Irrigation - Commercial,529800
201201,78712,Irrigation - Large Volume,11155600
201201,78712,Large Volume,7472900
201201,78714,Commercial,246200
201201,78714,Irrigation - Commercial,30000
201201,78717,City of Austin,0
201201,78717,Commercial,4208700
201201,78717,Irrigation - City of Austin,0
201201,78717,Irrigation - Commercial,3921900
201201,78719,Austin Water Utility,137700
201201,78719,City of Austin,2625100
201201,78719,Commercial,3380900
201201,78719,Irrigation - City of Austin,115300
201201,78719,Irrigation - Commercial,340200
201201,78719,Wholesale,1615400
201201,78721,Austin Water Utility,11100
201201,78721,City of Austin,90100
201201,78721,Commercial,7386300
201201,78721,Irrigation - City of Austin,10200
201201,78721,Irrigation - Commercial,362600
201201,78722,City of Austin,40700
201201,78722,Commercial,4666300
201201,78722,Irrigation - City of Austin,1923000
201201,78722,Irrigation - Commercial,211800
201201,78723,Austin Water Utility,0
201201,78723,City of Austin,172400
201201,78723,Commercial,13654800
201201,78723,Irrigation - City of Austin,1000
201201,78723,Irrigation - Commercial,2431500
201201,78724,Austin Water Utility,800900
201201,78724,City of Austin,1395100
201201,78724,Commercial,3557700
201201,78724,Irrigation - City of Austin,0
201201,78724,Irrigation - Commercial,2256000
201201,78725,Austin Water Utility,233500
201201,78725,City of Austin,25100
201201,78725,Commercial,5146700
201201,78725,Irrigation - Commercial,80600
201201,78725,Large Volume,21456100
201201,78725,Wholesale,1166100
201201,78726,Austin Water Utility,0
201201,78726,City of Austin,301000
201201,78726,Commercial,6281400
201201,78726,Irrigation - Commercial,1740200
201201,78727,City of Austin,27000
201201,78727,Commercial,13459300
201201,78727,Irrigation - City of Austin,0
201201,78727,Irrigation - Commercial,2445500
201201,78728,Commercial,3066700
201201,78728,Irrigation - Commercial,1144600
201201,78728,Large Volume,17888000
201201,78728,Wholesale,37528200
201201,78729,City of Austin,12900
201201,78729,Commercial,9468300
201201,78729,Irrigation - City of Austin,0
201201,78729,Irrigation - Commercial,2058500
201201,78729,Wholesale,24256800
201201,78730,Commercial,2140800
201201,78730,Irrigation - Commercial,1936800
201201,78731,Austin Water Utility,0
201201,78731,City of Austin,87600
201201,78731,Commercial,18718900
201201,78731,Irrigation - City of Austin,8000
201201,78731,Irrigation - Commercial,2361500
201201,78732,Commercial,3538400
201201,78732,Irrigation - Commercial,6900
201201,78735,Austin Water Utility,0
201201,78735,City of Austin,289000
201201,78735,Commercial,7290200
201201,78735,Irrigation - Commercial,2491100
201201,78735,Large Volume,12060000
201201,78735,Wholesale,339100
201201,78736,Commercial,1369400
201201,78736,Irrigation - Commercial,309300
201201,78737,Commercial,1137400
201201,78737,Irrigation - Commercial,161100
201201,78737,Wholesale,478000
201201,78739,City of Austin,9000
201201,78739,Commercial,1453300
201201,78739,Irrigation - City of Austin,0
201201,78739,Irrigation - Commercial,931100
201201,78739,Wholesale,10531500
201201,78741,Austin Water Utility,34000
201201,78741,City of Austin,295400
201201,78741,Commercial,14763500
201201,78741,Irrigation - City of Austin,266200
201201,78741,Irrigation - Commercial,2225600
201201,78741,Large Volume,31206300
201201,78742,Commercial,378700
201201,78742,Irrigation - Commercial,39900
201201,78744,Austin Water Utility,355000
201201,78744,City of Austin,989100
201201,78744,Commercial,20376300
201201,78744,Irrigation - City of Austin,848300
201201,78744,Irrigation - Commercial,3662100
201201,78745,City of Austin,196200
201201,78745,Commercial,26953000
201201,78745,Irrigation - City of Austin,3200
201201,78745,Irrigation - Commercial,4055800
201201,78745,Wholesale,7440900
201201,78746,City of Austin,1249200
201201,78746,Commercial,10876500
201201,78746,Irrigation - City of Austin,395800
201201,78746,Irrigation - Commercial,1990700
201201,78746,Wholesale,67229800
201201,78747,Commercial,900800
201201,78747,Irrigation - Commercial,606600
201201,78747,Wholesale,3942900
201201,78748,City of Austin,54800
201201,78748,Commercial,10650500
201201,78748,Irrigation - City of Austin,26000
201201,78748,Irrigation - Commercial,3051300
201201,78748,Wholesale,537400
201201,78749,Austin Water Utility,100
201201,78749,City of Austin,47000
201201,78749,Commercial,8522100
201201,78749,Irrigation - City of Austin,40200
201201,78749,Irrigation - Commercial,5288800
201201,78750,Austin Water Utility,739500
201201,78750,City of Austin,240800
201201,78750,Commercial,7876900
201201,78750,Irrigation - City of Austin,74800
201201,78750,Irrigation - Commercial,3185600
201201,78751,City of Austin,39000
201201,78751,Commercial,11708000
201201,78751,Irrigation - City of Austin,680600
201201,78751,Irrigation - Commercial,293200
201201,78752,City of Austin,89800
201201,78752,Commercial,22224000
201201,78752,Irrigation - City of Austin,0
201201,78752,Irrigation - Commercial,2012600
201201,78753,Austin Water Utility,800
201201,78753,City of Austin,485000
201201,78753,Commercial,38016600
201201,78753,Irrigation - City of Austin,366900
201201,78753,Irrigation - Commercial,5373300
201201,78754,Austin Water Utility,96100
201201,78754,City of Austin,204300
201201,78754,Commercial,11788100
201201,78754,Irrigation - City of Austin,0
201201,78754,Irrigation - Commercial,3326900
201201,78754,Large Volume,121229000
201201,78755,Commercial,39200
201201,78756,Austin Water Utility,65200
201201,78756,City of Austin,24100
201201,78756,Commercial,10197400
201201,78756,Irrigation - City of Austin,0
201201,78756,Irrigation - Commercial,388000
201201,78757,City of Austin,129700
201201,78757,Commercial,15815300
201201,78757,Irrigation - City of Austin,69400
201201,78757,Irrigation - Commercial,686000
201201,78758,City of Austin,149400
201201,78758,Commercial,35998100
201201,78758,Irrigation - City of Austin,2140300
201201,78758,Irrigation - Commercial,4215100
201201,78759,Austin Water Utility,0
201201,78759,City of Austin,31100
201201,78759,Commercial,33745200
201201,78759,Irrigation - City of Austin,0
201201,78759,Irrigation - Commercial,6577600
201201,78766,Commercial,5700
201201,78766,Irrigation - Commercial,26000
201202,78613,Commercial,2296300
201202,78613,Irrigation - Commercial,854700
201202,78617,Austin Water Utility,433500
201202,78617,City of Austin,3046600
201202,78617,Commercial,9641400
201202,78617,Irrigation - City of Austin,0
201202,78617,Irrigation - Commercial,343900
201202,78640,Commercial,63800
201202,78652,Commercial,139700
201202,78653,Commercial,99500
201202,78653,Irrigation - Commercial,9300
201202,78653,Wholesale,0
201202,78660,Commercial,3466900
201202,78660,Irrigation - Commercial,1125000
201202,78660,Wholesale,23291000
201202,78681,City of Austin,1200
201202,78681,Irrigation - City of Austin,36000
201202,78701,Austin Water Utility,90000
201202,78701,City of Austin,4351900
201202,78701,Commercial,58568200
201202,78701,Irrigation - City of Austin,344000
201202,78701,Irrigation - Commercial,816300
201202,78701,Large Volume,1384000
201202,78702,Austin Water Utility,56000
201202,78702,City of Austin,598500
201202,78702,Commercial,23214400
201202,78702,Irrigation - City of Austin,498300
201202,78702,Irrigation - Commercial,1305100
201202,78703,Austin Water Utility,9700
201202,78703,City of Austin,755200
201202,78703,Commercial,15295100
201202,78703,Irrigation - City of Austin,106000
201202,78703,Irrigation - Commercial,769900
201202,78704,Austin Water Utility,43300
201202,78704,City of Austin,2251200
201202,78704,Commercial,36131100
201202,78704,Irrigation - City of Austin,65600
201202,78704,Irrigation - Commercial,1988300
201202,78705,City of Austin,96500
201202,78705,Commercial,26091900
201202,78705,Irrigation - City of Austin,400
201202,78705,Irrigation - Commercial,1022500
201202,78705,Large Volume,2720000
201202,78710,Commercial,33800
201202,78710,Irrigation - Commercial,1400
201202,78712,Commercial,5889500
201202,78712,Irrigation - Commercial,2959000
201202,78712,Irrigation - Large Volume,14795400
201202,78712,Large Volume,8954400
201202,78714,Commercial,239900
201202,78714,Irrigation - Commercial,80000
201202,78717,City of Austin,0
201202,78717,Commercial,3761700
201202,78717,Irrigation - City of Austin,0
201202,78717,Irrigation - Commercial,2625300
201202,78719,Austin Water Utility,419500
201202,78719,City of Austin,2548100
201202,78719,Commercial,3008300
201202,78719,Irrigation - City of Austin,161300
201202,78719,Irrigation - Commercial,318200
201202,78719,Wholesale,1344300
201202,78721,Austin Water Utility,6100
201202,78721,City of Austin,112500
201202,78721,Commercial,5827500
201202,78721,Irrigation - City of Austin,17700
201202,78721,Irrigation - Commercial,190100
201202,78722,City of Austin,40400
201202,78722,Commercial,4292100
201202,78722,Irrigation - City of Austin,910400
201202,78722,Irrigation - Commercial,317900
201202,78723,Austin Water Utility,0
201202,78723,City of Austin,3641000
201202,78723,Commercial,12475600
201202,78723,Irrigation - City of Austin,0
201202,78723,Irrigation - Commercial,2847800
201202,78724,Austin Water Utility,407000
201202,78724,City of Austin,4791900
201202,78724,Commercial,3683100
201202,78724,Irrigation - City of Austin,0
201202,78724,Irrigation - Commercial,1821300
201202,78725,Austin Water Utility,361700
201202,78725,City of Austin,26000
201202,78725,Commercial,5308700
201202,78725,Irrigation - Commercial,65100
201202,78725,Large Volume,28345500
201202,78725,Wholesale,482600
201202,78726,Austin Water Utility,0
201202,78726,City of Austin,270000
201202,78726,Commercial,5068200
201202,78726,Irrigation - Commercial,1745600
201202,78727,City of Austin,26400
201202,78727,Commercial,12907600
201202,78727,Irrigation - City of Austin,0
201202,78727,Irrigation - Commercial,2493300
201202,78728,Commercial,2914900
201202,78728,Irrigation - Commercial,1280100
201202,78728,Large Volume,15303000
201202,78728,Wholesale,31001800
201202,78729,City of Austin,12000
201202,78729,Commercial,8089400
201202,78729,Irrigation - City of Austin,0
201202,78729,Irrigation - Commercial,2054300
201202,78729,Wholesale,21908000
201202,78730,Commercial,1874300
201202,78730,Irrigation - Commercial,1499800
201202,78731,Austin Water Utility,0
201202,78731,City of Austin,77800
201202,78731,Commercial,12482300
201202,78731,Irrigation - City of Austin,8800
201202,78731,Irrigation - Commercial,1733900
201202,78732,Commercial,723200
201202,78732,Irrigation - Commercial,5900
201202,78735,Austin Water Utility,0
201202,78735,City of Austin,257000
201202,78735,Commercial,7088500
201202,78735,Irrigation - Commercial,2426200
201202,78735,Large Volume,16374000
201202,78735,Wholesale,382900
201202,78736,Commercial,1218900
201202,78736,Irrigation - Commercial,197400
201202,78737,Commercial,301100
201202,78737,Irrigation - Commercial,136000
201202,78737,Wholesale,413000
201202,78739,City of Austin,8000
201202,78739,Commercial,1677400
201202,78739,Irrigation - City of Austin,0
201202,78739,Irrigation - Commercial,1067800
201202,78739,Wholesale,9507000
201202,78741,Austin Water Utility,0
201202,78741,City of Austin,215800
201202,78741,Commercial,16294900
201202,78741,Irrigation - City of Austin,1297800
201202,78741,Irrigation - Commercial,2148100
201202,78741,Large Volume,35668700
201202,78742,Commercial,350700
201202,78742,Irrigation - Commercial,29100
201202,78744,Austin Water Utility,692900
201202,78744,City of Austin,839700
201202,78744,Commercial,21512100
201202,78744,Irrigation - City of Austin,785500
201202,78744,Irrigation - Commercial,2511100
201202,78745,City of Austin,222500
201202,78745,Commercial,27390600
201202,78745,Irrigation - City of Austin,0
201202,78745,Irrigation - Commercial,3012000
201202,78745,Wholesale,5729800
201202,78746,City of Austin,1136900
201202,78746,Commercial,9368600
201202,78746,Irrigation - City of Austin,358800
201202,78746,Irrigation - Commercial,1351000
201202,78746,Wholesale,63872800
201202,78747,Austin Water Utility,1215500
201202,78747,Commercial,791600
201202,78747,Irrigation - Commercial,538900
201202,78747,Wholesale,3966600
201202,78748,City of Austin,50500
201202,78748,Commercial,10050100
201202,78748,Irrigation - City of Austin,25900
201202,78748,Irrigation - Commercial,3121400
201202,78748,Wholesale,487000
201202,78749,Austin Water Utility,0
201202,78749,City of Austin,36500
201202,78749,Commercial,8354600
201202,78749,Irrigation - City of Austin,27400
201202,78749,Irrigation - Commercial,4610800
201202,78750,Austin Water Utility,11800
201202,78750,City of Austin,118400
201202,78750,Commercial,7010600
201202,78750,Irrigation - City of Austin,70000
201202,78750,Irrigation - Commercial,3020700
201202,78751,City of Austin,52900
201202,78751,Commercial,11331000
201202,78751,Irrigation - City of Austin,367000
201202,78751,Irrigation - Commercial,210600
201202,78752,City of Austin,93800
201202,78752,Commercial,21357600
201202,78752,Irrigation - City of Austin,0
201202,78752,Irrigation - Commercial,1633100
201202,78753,Austin Water Utility,600
201202,78753,City of Austin,675500
201202,78753,Commercial,31595500
201202,78753,Irrigation - City of Austin,295600
201202,78753,Irrigation - Commercial,3949800
201202,78754,Austin Water Utility,71700
201202,78754,City of Austin,184800
201202,78754,Commercial,11341400
201202,78754,Irrigation - City of Austin,0
201202,78754,Irrigation - Commercial,1861900
201202,78754,Large Volume,127581400
201202,78755,Commercial,36700
201202,78756,Austin Water Utility,53800
201202,78756,City of Austin,28400
201202,78756,Commercial,9605100
201202,78756,Irrigation - City of Austin,0
201202,78756,Irrigation - Commercial,392400
201202,78757,City of Austin,258500
201202,78757,Commercial,15607500
201202,78757,Irrigation - City of Austin,61000
201202,78757,Irrigation - Commercial,368500
201202,78758,City of Austin,143100
201202,78758,Commercial,33933800
201202,78758,Irrigation - City of Austin,1832900
201202,78758,Irrigation - Commercial,3943400
201202,78759,Austin Water Utility,0
201202,78759,City of Austin,24300
201202,78759,Commercial,32673900
201202,78759,Irrigation - City of Austin,0
201202,78759,Irrigation - Commercial,5197600
201202,78766,Commercial,5700
201202,78766,Irrigation - Commercial,24000
201203,78613,Commercial,2689100
201203,78613,Irrigation - Commercial,916700
201203,78617,Austin Water Utility,262700
201203,78617,City of Austin,18333500
201203,78617,Commercial,10648000
201203,78617,Irrigation - City of Austin,0
201203,78617,Irrigation - Commercial,397700
201203,78640,Commercial,101900
201203,78652,Commercial,152600
201203,78653,Commercial,387200
201203,78653,Irrigation - Commercial,53000
201203,78653,Wholesale,0
201203,78660,Commercial,4155400
201203,78660,Irrigation - Commercial,1268400
201203,78660,Wholesale,23972600
201203,78681,City of Austin,2100
201203,78681,Irrigation - City of Austin,31000
201203,78701,Austin Water Utility,108000
201203,78701,City of Austin,5570000
201203,78701,Commercial,63987200
201203,78701,Irrigation - City of Austin,309800
201203,78701,Irrigation - Commercial,867900
201203,78701,Large Volume,1714000
201203,78702,Austin Water Utility,64200
201203,78702,City of Austin,668900
201203,78702,Commercial,24812300
201203,78702,Irrigation - City of Austin,206600
201203,78702,Irrigation - Commercial,1106700
201203,78703,Austin Water Utility,10300
201203,78703,City of Austin,954900
201203,78703,Commercial,15333600
201203,78703,Irrigation - City of Austin,84400
201203,78703,Irrigation - Commercial,889200
201203,78704,Austin Water Utility,52100
201203,78704,City of Austin,1368400
201203,78704,Commercial,34938000
201203,78704,Irrigation - City of Austin,108700
201203,78704,Irrigation - Commercial,2015900
201203,78705,City of Austin,83100
201203,78705,Commercial,29961000
201203,78705,Irrigation - City of Austin,400
201203,78705,Irrigation - Commercial,1004800
201203,78705,Large Volume,3739000
201203,78710,Commercial,31600
201203,78710,Irrigation - Commercial,2000
201203,78712,Commercial,6138900
201203,78712,Irrigation - Commercial,2286700
201203,78712,Irrigation - Large Volume,12580000
201203,78712,Large Volume,17643400
201203,78714,Commercial,329200
201203,78714,Irrigation - Commercial,49000
201203,78717,City of Austin,0
201203,78717,Commercial,3991600
201203,78717,Irrigation - City of Austin,0
201203,78717,Irrigation - Commercial,2937500
201203,78719,Austin Water Utility,337200
201203,78719,City of Austin,1875900
201203,78719,Commercial,3145600
201203,78719,Irrigation - City of Austin,204600
201203,78719,Irrigation - Commercial,202000
201203,78719,Wholesale,752600
201203,78721,Austin Water Utility,4200
201203,78721,City of Austin,102000
201203,78721,Commercial,6855000
201203,78721,Irrigation - City of Austin,15200
201203,78721,Irrigation - Commercial,242700
201203,78722,City of Austin,46900
201203,78722,Commercial,4769600
201203,78722,Irrigation - City of Austin,801100
201203,78722,Irrigation - Commercial,340500
201203,78723,City of Austin,2225800
201203,78723,Commercial,13755000
201203,78723,Irrigation - City of Austin,1000
201203,78723,Irrigation - Commercial,3220900
201203,78724,Austin Water Utility,363200
201203,78724,City of Austin,2764000
201203,78724,Commercial,4440300
201203,78724,Irrigation - City of Austin,0
201203,78724,Irrigation - Commercial,2323900
201203,78725,Austin Water Utility,708800
201203,78725,City of Austin,27000
201203,78725,Commercial,4673000
201203,78725,Irrigation - Commercial,79500
201203,78725,Large Volume,28751400
201203,78725,Wholesale,933000
201203,78726,Austin Water Utility,0
201203,78726,City of Austin,271000
201203,78726,Commercial,5799400
201203,78726,Irrigation - Commercial,1518600
201203,78727,City of Austin,24200
201203,78727,Commercial,13634300
201203,78727,Irrigation - City of Austin,100
201203,78727,Irrigation - Commercial,3484500
201203,78728,Commercial,4162000
201203,78728,Irrigation - Commercial,1581000
201203,78728,Large Volume,5969000
201203,78728,Wholesale,33207500
201203,78729,City of Austin,12300
201203,78729,Commercial,10142400
201203,78729,Irrigation - City of Austin,0
201203,78729,Irrigation - Commercial,2666700
201203,78729,Wholesale,24055200
201203,78730,Commercial,2065700
201203,78730,Irrigation - Commercial,1185400
201203,78731,Austin Water Utility,0
201203,78731,City of Austin,114900
201203,78731,Commercial,14303100
201203,78731,Irrigation - City of Austin,8200
201203,78731,Irrigation - Commercial,1970400
201203,78732,Commercial,287200
201203,78732,Irrigation - Commercial,8300
201203,78735,Austin Water Utility,0
201203,78735,City of Austin,280000
201203,78735,Commercial,7302900
201203,78735,Irrigation - Commercial,1770800
201203,78735,Large Volume,15883000
201203,78735,Wholesale,442300
201203,78736,Commercial,1100400
201203,78736,Irrigation - Commercial,221100
201203,78737,Commercial,363100
201203,78737,Irrigation - Commercial,112600
201203,78737,Wholesale,451400
201203,78739,City of Austin,9000
201203,78739,Commercial,1589600
201203,78739,Irrigation - City of Austin,700
201203,78739,Irrigation - Commercial,470800
201203,78739,Wholesale,9493200
201203,78741,Austin Water Utility,94000
201203,78741,City of Austin,270100
201203,78741,Commercial,17464300
201203,78741,Irrigation - City of Austin,871900
201203,78741,Irrigation - Commercial,2311100
201203,78741,Large Volume,37560000
201203,78742,Commercial,440200
201203,78742,Irrigation - Commercial,33900
201203,78744,Austin Water Utility,352600
201203,78744,City of Austin,670000
201203,78744,Commercial,23879100
201203,78744,Irrigation - City of Austin,1007300
