Year Month,Postal Code,Customer Class,Total Gallons
201204,78681,City of Austin,18700
201204,78681,Irrigation - City of Austin,43000
201204,78701,Austin Water Utility,120000
201204,78701,City of Austin,7467100
201204,78701,Commercial,68871500
201204,78701,Irrigation - City of Austin,379000
201204,78701,Irrigation - Commercial,1020800
201204,78701,Large Volume,1329000
201204,78702,Austin Water Utility,44900
201204,78702,City of Austin,923000
201204,78702,Commercial,23840100
201204,78702,Irrigation - City of Austin,314400
201204,78702,Irrigation - Commercial,1335000
201204,78703,Austin Water Utility,8500
201204,78703,City of Austin,1021100
201204,78703,Commercial,13814800
201204,78703,Irrigation - City of Austin,93100
201204,78703,Irrigation - Commercial,979900
201204,78704,Austin Water Utility,19500
201204,78704,City of Austin,1577400
201204,78704,Commercial,34328500
201204,78704,Irrigation - City of Austin,52100
201204,78704,Irrigation - Commercial,2862600
201204,78705,City of Austin,69600
201204,78705,Commercial,30041200
201204,78705,Irrigation - City of Austin,700
201204,78705,Irrigation - Commercial,1317700
201204,78705,Large Volume,5144000
201204,78710,Commercial,30700
201204,78710,Irrigation - Commercial,1400
201204,78712,Commercial,7346400
201204,78712,Irrigation - Commercial,4581900
201204,78712,Irrigation - Large Volume,16572000
201204,78712,Large Volume,13366700
201204,78714,Commercial,461300
201204,78714,Irrigation - Commercial,79000
201204,78717,City of Austin,0
201204,78717,Commercial,5384600
201204,78717,Irrigation - City of Austin,0
201204,78717,Irrigation - Commercial,3663800
201204,78719,Austin Water Utility,425600
201204,78719,City of Austin,2812100
201204,78719,Commercial,2959900
201204,78719,Irrigation - City of Austin,404800
201204,78719,Irrigation - Commercial,247400
201204,78719,Wholesale,1410800
201204,78721,Austin Water Utility,3700
201204,78721,City of Austin,105000
201204,78721,Commercial,6390200
201204,78721,Irrigation - City of Austin,13800
201204,78721,Irrigation - Commercial,294400
201204,78722,City of Austin,31800
201204,78722,Commercial,4377700
201204,78722,Irrigation - City of Austin,639700
201204,78722,Irrigation - Commercial,635100
201204,78723,City of Austin,2427900
201204,78723,Commercial,13454800
201204,78723,Irrigation - City of Austin,33800
201204,78723,Irrigation - Commercial,2689000
201204,78724,Austin Water Utility,316700
201204,78724,City of Austin,5169700
201204,78724,Commercial,4537700
201204,78724,Irrigation - City of Austin,0
201204,78724,Irrigation - Commercial,2594500
201204,78725,Austin Water Utility,349400
201204,78725,City of Austin,27000
201204,78725,Commercial,4479000
201204,78725,Irrigation - Commercial,62600
201204,78725,Large Volume,32458100
201204,78725,Wholesale,1050700
201204,78726,Austin Water Utility,0
201204,78726,City of Austin,301000
201204,78726,Commercial,6136400
201204,78726,Irrigation - Commercial,2086800
201204,78727,City of Austin,27900
201204,78727,Commercial,13435800
201204,78727,Irrigation - City of Austin,200
201204,78727,Irrigation - Commercial,3853400
201204,78728,Commercial,2795000
201204,78728,Irrigation - Commercial,1970600
201204,78728,Large Volume,2823000
201204,78728,Wholesale,33307700
201204,78729,City of Austin,12200
201204,78729,Commercial,10148600
201204,78729,Irrigation - City of Austin,0
201204,78729,Irrigation - Commercial,2852800
201204,78729,Wholesale,28122400
201204,78730,Commercial,2189000
201204,78730,Irrigation - Commercial,1454500
201204,78731,Austin Water Utility,0
201204,78731,City of Austin,129400
201204,78731,Commercial,13849700
201204,78731,Irrigation - City of Austin,7500
201204,78731,Irrigation - Commercial,3637900
201204,78732,Commercial,297900
201204,78732,Irrigation - Commercial,6800
201204,78735,Austin Water Utility,0
201204,78735,City of Austin,254100
201204,78735,Commercial,8052300
201204,78735,Irrigation - Commercial,2186500
201204,78735,Large Volume,18171000
201204,78735,Wholesale,353600
201204,78736,Commercial,1343500
201204,78736,Irrigation - Commercial,283200
201204,78737,Commercial,401600
201204,78737,Irrigation - Commercial,126400
201204,78737,Wholesale,420200
201204,78739,City of Austin,8000
201204,78739,Commercial,1045800
201204,78739,Irrigation - City of Austin,900
201204,78739,Irrigation - Commercial,1246600
201204,78739,Wholesale,10127700
201204,78741,Austin Water Utility,59000
201204,78741,City of Austin,242300
201204,78741,Commercial,17528500
201204,78741,Irrigation - City of Austin,1316700
201204,78741,Irrigation - Commercial,3066700
201204,78741,Large Volume,35329000
201204,78742,Commercial,561000
201204,78742,Irrigation - Commercial,45900
201204,78744,Austin Water Utility,349800
201204,78744,City of Austin,742200
201204,78744,Commercial,23105800
201204,78744,Irrigation - City of Austin,1226800
201204,78744,Irrigation - Commercial,3264400
201204,78745,City of Austin,142600
201204,78745,Commercial,26557600
201204,78745,Irrigation - City of Austin,10200
201204,78745,Irrigation - Commercial,3241000
201204,78745,Wholesale,6903200
201204,78746,City of Austin,1099200
201204,78746,Commercial,11435000
201204,78746,Irrigation - City of Austin,34500
201204,78746,Irrigation - Commercial,1903500
201204,78746,Wholesale,69491200
201204,78747,Austin Water Utility,1040600
201204,78747,Commercial,1088800
201204,78747,Irrigation - Commercial,467700
201204,78747,Wholesale,4273400
201204,78748,City of Austin,61300
201204,78748,Commercial,11004900
201204,78748,Irrigation - City of Austin,26100
201204,78748,Irrigation - Commercial,3148000
201204,78748,Wholesale,594000
201204,78749,Austin Water Utility,0
201204,78749,City of Austin,61700
201204,78749,Commercial,9134100
201204,78749,Irrigation - City of Austin,28400
201204,78749,Irrigation - Commercial,4022300
201204,78750,Austin Water Utility,285800
201204,78750,City of Austin,74800
201204,78750,Commercial,8358900
201204,78750,Irrigation - City of Austin,95800
201204,78750,Irrigation - Commercial,3742900
201204,78751,City of Austin,41500
201204,78751,Commercial,12748900
201204,78751,Irrigation - City of Austin,977900
201204,78751,Irrigation - Commercial,253900
201204,78752,City of Austin,34400
201204,78752,Commercial,23676700
201204,78752,Irrigation - City of Austin,0
201204,78752,Irrigation - Commercial,1839000
201204,78753,Austin Water Utility,400
201204,78753,City of Austin,631100
201204,78753,Commercial,34519900
201204,78753,Irrigation - City of Austin,310100
201204,78753,Irrigation - Commercial,5130800
201204,78754,Austin Water Utility,75900
201204,78754,City of Austin,223800
201204,78754,Commercial,13936400
201204,78754,Irrigation - City of Austin,0
201204,78754,Irrigation - Commercial,3322700
201204,78754,Large Volume,136075500
201204,78755,Commercial,47800
201204,78756,Austin Water Utility,41900
201204,78756,City of Austin,21600
201204,78756,Commercial,10784800
201204,78756,Irrigation - City of Austin,0
201204,78756,Irrigation - Commercial,1082300
201204,78757,City of Austin,1043300
201204,78757,Commercial,14831600
201204,78757,Irrigation - City of Austin,70300
201204,78757,Irrigation - Commercial,512100
201204,78758,City of Austin,151600
201204,78758,Commercial,40174600
201204,78758,Irrigation - City of Austin,3462100
201204,78758,Irrigation - Commercial,5745200
201204,78759,Austin Water Utility,0
201204,78759,City of Austin,24400
201204,78759,Commercial,37615900
201204,78759,Irrigation - City of Austin,41200
201204,78759,Irrigation - Commercial,6246600
201204,78766,Commercial,5700
201204,78766,Irrigation - Commercial,20000
201205,78613,Commercial,3399300
201205,78613,Irrigation - Commercial,1584500
201205,78617,Austin Water Utility,77700
201205,78617,City of Austin,8143700
201205,78617,Commercial,12552700
201205,78617,Irrigation - City of Austin,0
201205,78617,Irrigation - Commercial,1124500
201205,78640,Commercial,113500
201205,78652,Commercial,290400
201205,78653,Commercial,478500
201205,78653,Irrigation - Commercial,482200
201205,78653,Wholesale,1000
201205,78660,Commercial,4017800
201205,78660,Irrigation - Commercial,2034400
201205,78660,Wholesale,27251400
201205,78681,City of Austin,11300
201205,78681,Irrigation - City of Austin,40000
201205,78701,Austin Water Utility,140000
201205,78701,City of Austin,7315100
201205,78701,Commercial,76383300
201205,78701,Irrigation - City of Austin,538200
201205,78701,Irrigation - Commercial,3727800
201205,78701,Large Volume,2151000
201205,78702,Austin Water Utility,96000
201205,78702,City of Austin,2182900
201205,78702,Commercial,27894700
201205,78702,Irrigation - City of Austin,599700
201205,78702,Irrigation - Commercial,1587700
201205,78703,Austin Water Utility,10300
201205,78703,City of Austin,1722500
201205,78703,Commercial,15258800
201205,78703,Irrigation - City of Austin,84000
201205,78703,Irrigation - Commercial,2089000
201205,78704,Austin Water Utility,14800
201205,78704,City of Austin,2672000
201205,78704,Commercial,39435600
201205,78704,Irrigation - City of Austin,102700
201205,78704,Irrigation - Commercial,5006400
201205,78705,City of Austin,77300
201205,78705,Commercial,33742000
201205,78705,Irrigation - City of Austin,2600
201205,78705,Irrigation - Commercial,2806000
201205,78705,Large Volume,4238000
201205,78710,Commercial,33300
